"eval","loc","state","mean","sd","median","iqr.lwr","iqr.upr","ci95.lwr","ci95.upr","ci80.lwr","ci80.upr","ci90.lwr","ci90.upr"
"obs.more","uk","dRtx",46.58,5.23,47.54,44.14,49.95,32.27,54.58,40.3,52.27,33.93,53.7
"obs.more","uk","dImm",3.89,11,0,0,0,0,36.24,0,22.04,0,35.08
"obs.more","sa","dRtx",32.43,10.09,31.36,24.96,40.43,14.59,48.02,18.49,45.7,15.92,46.92
"obs.more","sa","dImm",61.32,18.18,60.94,46.36,78.21,42.63,85.75,44.14,82.81,43.2,84.39
"obs.more","br","dRtx",43.3,8.68,42.64,39.96,45.16,30.33,65.33,36.82,49.45,34.99,60.67
"obs.more","br","dImm",52.54,20.29,59.44,44.85,64.46,0,75.79,35.88,66.83,0,70.82
"obs.most","uk","dRtx",46.31,5.38,47.17,43.97,49.39,32.33,54.13,39.85,51.92,33.63,52.99
"obs.most","uk","dImm",5.96,12.68,0,0,0,0,37.9,0,32.99,0,35.29
"obs.most","sa","dRtx",30.76,9.3,30.36,24.84,35.56,14.01,49.52,18.39,43.94,15.22,46.34
"obs.most","sa","dImm",67.51,17.66,73.92,50.94,81.17,42.68,86.2,44.57,83.73,44.08,85.03
"obs.most","br","dRtx",42.36,7.36,42.38,39.64,44.85,34.63,57.47,37.13,48.12,35.7,49.24
"obs.most","br","dImm",55.56,12.73,60.04,44.9,64.43,39.26,70.01,41.6,66.34,40.19,68.43
"obs.most2","uk","dRtx",47.14,5.18,47.73,45.3,50.26,32.33,55,42.13,52.37,34,53.82
"obs.most2","uk","dImm",3.05,9.84,0,0,0,0,36.24,0,1.34,0,34.43
"obs.most2","sa","dRtx",31.22,8.83,30.7,27,35.23,14.01,49.52,20.39,43.61,15.22,46.34
"obs.most2","sa","dImm",69.33,17.33,76.02,59.94,81.84,43.19,88.38,45.4,84.45,44.14,86.46
"obs.most2","br","dRtx",42.76,6.68,42.38,39.88,44.85,35.36,57.47,38.06,48.12,35.88,49.24
"obs.most2","br","dImm",55.36,12.73,60.04,44.85,64.27,39.06,70.01,41.51,66.17,39.86,68.19
"obs.comb","uk","dRtx",47.28,4.89,47.84,45.8,50.26,32.27,54.58,42.84,52.37,37.42,53.7
"obs.comb","uk","dImm",0,0,0,0,0,0,0,0,0,0,0
"obs.comb","sa","dRtx",31.9,9.37,31.27,26.72,37.02,14.59,51.43,19.28,44.87,15.92,47.29
"obs.comb","sa","dImm",66.42,18.92,73.05,49.77,80.99,20.06,86.76,44.5,83.73,43.2,85.03
"obs.comb","br","dRtx",42.89,8.15,42.38,39.68,44.92,34.63,65.33,37.13,48.48,35.7,57.09
"obs.comb","br","dImm",53.33,17.47,59.78,44.71,64.43,0,70.01,40.75,66.34,0,68.43
